Genus,Species,Subspecies,Leaf_Width_Low,Leaf_Width_High,Leaf_Width_One_Value,Flower_Stem_Low,Flowe_Stem_High,Flower_Stem_One_Value,Dorsal_Sepal_Low,Dorsal_Sepal_High,Dorsal_Sepal_Width_One_Value,Lip_Width_Low,Lip_Width_High,Lip_Width_One_Value,Lip_Lenght_Low,Lip_Lenght_High,Lip_Length_One_Value,Reference,NAT,NT,Qld,NSW,ACT,Vic,Tas,SA,WA,AUS_W,AUS_L,SA_ALL,References,,,
Arachnorchis,hoffmanii,,5,10,,120,300,,3,3.5,,6,9,,12,14,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,huegelii,,7,12,,250,600,,2.5,4,,13,20,,23,30,,,EN,,,,,,,,RA,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,infundibularis,,8,14,,250,450,,2,3,,11,16,,20,24,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,insularis,,7,10,,300,400,,3,4,,7,9,,10,13,,,VU,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,integra,,10,15,,200,500,,2,3,,15,20,,18,22,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,interanea,,5,12,,160,650,,3,4,,17,20,,14,17,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,interjacens,,5,15,,300,600,,3,4,,10,15,,20,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,intuta,,5,11,,100,350,,2.5,3,,7,11,,13,16,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,leptochila,leptochila,8,12,,200,450,,3.5,4,,5,7,,12,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,leptoclavia,,8,12,,200,600,,3.5,4,,10,12,,16,19,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,lindleyana,,3,5,,120,350,,2.5,3,,5.5,7,,8,12,,,CR,,,,,,EN,,,,,No_status,"Backhouse, G. (2007)",,,
Arachnorchis,lobata,,10,14,,300,500,,3,5,,30,35,,20,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,lodgeana,,5,10,,200,400,,2,3,,11,15,,18,25,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,longicauda,longicauda,5,15,,350,600,,2.9,3,3,10,15,,17,24,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,longiclavata,,7,20,,200,350,,2,3.5,,7,14,,13,18,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,longifimbriata,,6,12,,140,250,,2,3,,15,18,,10,15,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,lorea,,7,10,,250,400,,1.5,4,,10,15,,17,27,,,,,,,,,,,,,,No_status,,,,
Arachnorchis,lowanensis,,8,12,,120,250,,2.4,2.5,2.5,6,8,,10,14,,,EN,,,,,TH,,,,,,No_status,"Backhouse, G. (2007)",,,
