Capítulo,Archivo .qmd,#Fig,Línea,Tipo,Origen (en .qmd),Ruta en figuras_editor,Caption
09-Propiedades,110-Propriedades.qmd,1,191,render_dual,images/Indice5_Lr1_No_erg.png,figuras_editor/09-Propiedades/01_Indice5_Lr1_No_erg.png,
09-Propiedades,110-Propriedades.qmd,2,282,render_dual,images/Indice_Lr1_Irr.png,figuras_editor/09-Propiedades/02_Indice_Lr1_Irr.png,
09-Propiedades,110-Propriedades.qmd,3,362,dynamic,chunk 'Indice10',figuras_editor/09-Propiedades/03_Indice10-1.png,
09-Propiedades,110-Propriedades.qmd,4,400,static,images/Spathoglottis_plicata_Tremblay.jpeg,figuras_editor/09-Propiedades/04_Spathoglottis_plicata_Tremblay.jpeg,*Spathoglottis plicata*. Foto: Tremblay
09-Propiedades,110-Propriedades.qmd,5,465,dynamic,chunk 'Indice13',figuras_editor/09-Propiedades/05_Indice13-1.png,
09-Propiedades,110-Propriedades.qmd,6,632,dynamic,chunk 'indice16',figuras_editor/09-Propiedades/06_indice16-1.png,
10-Elasticidad,111-Elasticidad.qmd,1,241,static,images/Lepanthes_eltoroensis_Tremblay.jpeg,figuras_editor/10-Elasticidad/01_Lepanthes_eltoroensis_Tremblay.jpeg,*Lepanthes eltoroensis*. Foto: Tremblay
10-Elasticidad,111-Elasticidad.qmd,2,277,static,images/Lepanthes_caritensis_Edwin_Guevara.jpg,figuras_editor/10-Elasticidad/02_Lepanthes_caritensis_Edwin_Guevara.jpg,*Lepanthes caritensis*. Foto: Edwin Guevara
10-Elasticidad,111-Elasticidad.qmd,3,281,static,images/Lepanthes_caritensis_Phorophyte.jpg,figuras_editor/10-Elasticidad/03_Lepanthes_caritensis_Phorophyte.jpg,*Lepanthes caritensis*. Foto: Edwin Guevara
10-Elasticidad,111-Elasticidad.qmd,4,286,dynamic,chunk 'Elas7',figuras_editor/10-Elasticidad/04_Elas7-1.png,
10-Elasticidad,111-Elasticidad.qmd,5,320,dynamic,chunk 'Elas8',figuras_editor/10-Elasticidad/05_Elas8-1.png,
10-Elasticidad,111-Elasticidad.qmd,6,364,static,images/Laelia_speciosa_Eduardo_A._Perez_Garcia.jpeg,figuras_editor/10-Elasticidad/06_Laelia_speciosa_Eduardo_A._Perez_Garcia.jpeg,*Laelia speciosa*. Foto: Eduardo A. Pérez García
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,1,139,static,images/Lepanthes_rupestris_Tremblay.jpeg,figuras_editor/11-Dinamica_transitoria/01_Lepanthes_rupestris_Tremblay.jpeg,*Lepanthes rupestris*. Foto: Tremblay
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,2,260,dynamic,chunk 'trans4',figuras_editor/11-Dinamica_transitoria/02_trans4-1.png,
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,3,326,dynamic,chunk 'trans6',figuras_editor/11-Dinamica_transitoria/03_trans6-1.png,
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,4,383,dynamic,chunk 'trans8',figuras_editor/11-Dinamica_transitoria/04_trans8-1.png,
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,5,433,dynamic,chunk 'trans10',figuras_editor/11-Dinamica_transitoria/05_trans10-1.png,
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,6,593,dynamic,chunk 'trans14',figuras_editor/11-Dinamica_transitoria/06_trans14-1.png,
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,7,626,dynamic,chunk 'trans15',figuras_editor/11-Dinamica_transitoria/07_trans15-1.png,
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,8,824,dynamic,chunk 'trans22',figuras_editor/11-Dinamica_transitoria/08_trans22-1.png,
11-Dinamica_transitoria,112-Dinamica_de_Transiciones.qmd,9,882,dynamic,chunk 'trans23',figuras_editor/11-Dinamica_transitoria/09_trans23-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,1,305,dynamic,chunk 'tf-nLr0-init',figuras_editor/12-Funciones_de_Transferencia/01_tf-nLr0-init-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,2,349,dynamic,chunk 'tf-tf5-calc',figuras_editor/12-Funciones_de_Transferencia/02_tf-tf5-calc-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,3,385,dynamic,chunk 'tf-tf9-calc',figuras_editor/12-Funciones_de_Transferencia/03_tf-tf9-calc-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,4,422,dynamic,chunk 'tf-tf8-calc',figuras_editor/12-Funciones_de_Transferencia/04_tf-tf8-calc-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,5,476,dynamic,chunk 'transF3',figuras_editor/12-Funciones_de_Transferencia/05_transF3-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,6,543,dynamic,chunk 'tf-n0-init',figuras_editor/12-Funciones_de_Transferencia/06_tf-n0-init-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,7,573,dynamic,chunk 'tf-par-mfrow',figuras_editor/12-Funciones_de_Transferencia/07_tf-par-mfrow-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,8,601,dynamic,chunk 'tf-etype-matrix',figuras_editor/12-Funciones_de_Transferencia/08_tf-etype-matrix-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,9,619,dynamic,chunk 'tf-tfmatL-init',figuras_editor/12-Funciones_de_Transferencia/09_tf-tfmatL-init-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,10,634,dynamic,chunk 'transF5',figuras_editor/12-Funciones_de_Transferencia/10_transF5-1.png,
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,11,898,dynamic,chunk 'tf-df-combine',[FALTA — correr quarto render],
12-Funciones_de_Transferencia,113-Funciones_de_Transferencia.qmd,12,1010,dynamic,chunk 'tf-label-substitute',figuras_editor/12-Funciones_de_Transferencia/12_tf-label-substitute-1.png,
13-LTRE,114-LTRE.qmd,1,173,static,images/Imagen1.jpg,figuras_editor/13-LTRE/01_Imagen1.jpg,"Cuadro 1. Matrices de proyección poblacional de *Oncidium brachyandrum* en dos hospederos (*Quercus martinezii* y *Q. rugosa*), con λ e intervalos de confianza, mortalidad q_x, categorías estables w, valor reproductivo y tamaño de muestra i"
13-LTRE,114-LTRE.qmd,2,533,dynamic,chunk 'LTRE15',figuras_editor/13-LTRE/02_LTRE15-1.png,
13-LTRE,114-LTRE.qmd,3,568,dynamic,chunk 'LTRE16',figuras_editor/13-LTRE/03_LTRE16-1.png,
13-LTRE,114-LTRE.qmd,4,726,dynamic,chunk 'LRE25',figuras_editor/13-LTRE/04_LRE25-1.png,
13-LTRE,114-LTRE.qmd,5,747,dynamic,chunk 'LRE26',figuras_editor/13-LTRE/05_LRE26-1.png,
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,1,147,static,images/Serapias_cordigera_5_Giuseppe_Pellegrino.jpeg,figuras_editor/14-Metodos_de_simulaciones/01_Serapias_cordigera_5_Giuseppe_Pellegrino.jpeg,*Serapias cordigera*. Foto: Guiseppe Pelligrino
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,2,256,static,images/Serapias_cordigera_7_Giuseppe_Pellegrino.jpg,figuras_editor/14-Metodos_de_simulaciones/02_Serapias_cordigera_7_Giuseppe_Pellegrino.jpg,*Serapias cordigera*. Foto: Guiseppe Pelligrino
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,3,259,dynamic,chunk 'sim4',figuras_editor/14-Metodos_de_simulaciones/03_sim4-1.png,
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,4,278,dynamic,chunk 'sim5',figuras_editor/14-Metodos_de_simulaciones/04_sim5-1.png,
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,5,319,dynamic,chunk 'sim7',figuras_editor/14-Metodos_de_simulaciones/05_sim7-1.png,
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,6,445,dynamic,chunk 'sim-diverging-colors',figuras_editor/14-Metodos_de_simulaciones/06_sim-diverging-colors-1.png,
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,7,463,static,images/Serapias_cordigera_3_Giuseppe_Pellegrino.jpeg,figuras_editor/14-Metodos_de_simulaciones/07_Serapias_cordigera_3_Giuseppe_Pellegrino.jpeg,*Serapias cordigera*. Foto: Guiseppe Pelligrino
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,8,693,dynamic,chunk 'sim18',figuras_editor/14-Metodos_de_simulaciones/08_sim18-1.png,
14-Metodos_de_simulaciones,115-Metodos_de_simulaciones.qmd,9,890,ggsave,mi_gragico.tiff,figuras_editor/14-Metodos_de_simulaciones/09_mi_gragico.tiff,
15-Historia_breve,117_Historia_breve.qmd,1,103,static,images/Vanhecke_figure.png,figuras_editor/15-Historia_breve/01_Vanhecke_figure.png,*Dactylorhiza praetermissa*; de la publicación
16-Carl_Olaf_Tamm,118-Carl_Olaf_Tamm.qmd,1,129,static,images/Dactylorhiza_sambucina_James_D._Ackerman.jpg,figuras_editor/16-Carl_Olaf_Tamm/01_Dactylorhiza_sambucina_James_D._Ackerman.jpg,*Dactylorhiza sambucina*. Foto: James D. Ackerman
16-Carl_Olaf_Tamm,118-Carl_Olaf_Tamm.qmd,2,168,static,images/Dactylorhiza_maculata_James_D._Ackerman.jpg,figuras_editor/16-Carl_Olaf_Tamm/02_Dactylorhiza_maculata_James_D._Ackerman.jpg,*Dactylorhiza maculata con hormigas y spittle bugs*. Foto: James D. Ackerman
16-Carl_Olaf_Tamm,118-Carl_Olaf_Tamm.qmd,3,458,dynamic,chunk 'OCTamm_17',figuras_editor/16-Carl_Olaf_Tamm/03_OCTamm_17-1.png,
18-Rage,120-Rage_orquideas.qmd,1,213,dynamic,chunk 'Rage8',figuras_editor/18-Rage/01_Rage8-1.png,
18-Rage,120-Rage_orquideas.qmd,2,240,dynamic,chunk 'Rage9',figuras_editor/18-Rage/02_Rage9-1.png,
18-Rage,120-Rage_orquideas.qmd,3,331,ggsave,images/Duración_Epi_Ter.png,figuras_editor/18-Rage/03_Duración_Epi_Ter.png,
18-Rage,120-Rage_orquideas.qmd,4,371,dynamic,chunk 'Rage13',figuras_editor/18-Rage/04_Rage13-1.png,
18-Rage,120-Rage_orquideas.qmd,5,606,dynamic,chunk 'Rage29',figuras_editor/18-Rage/05_Rage29-1.png,
18-Rage,120-Rage_orquideas.qmd,6,651,dynamic,chunk 'Rage31',figuras_editor/18-Rage/06_Rage31-1.png,
18-Rage,120-Rage_orquideas.qmd,7,670,dynamic,chunk 'Rage32',figuras_editor/18-Rage/07_Rage32-1.png,
18-Rage,120-Rage_orquideas.qmd,8,735,dynamic,chunk 'Rage35',figuras_editor/18-Rage/08_Rage35-1.png,
18-Rage,120-Rage_orquideas.qmd,9,845,dynamic,chunk 'Rage_compare_plot',figuras_editor/18-Rage/09_Rage_compare_plot-1.png,
19-Protocolo,121-Traduccion_protocolo_informacion.qmd,1,76,static,images/Survey_paper.png,figuras_editor/19-Protocolo/01_Survey_paper.png,FIGURA 1: Resultados de la encuesta a expertos en ecología de poblaciones que participaron (n = 60). Los participantes calificaron su confianza en la comunicación adecuada de los componentes de los modelos matriciales de población (MPP) en 
19-Protocolo,121-Traduccion_protocolo_informacion.qmd,2,86,static,images/Database_paper.png,figuras_editor/19-Protocolo/02_Database_paper.png,FIGURA2: Tanto los artículos sobre MPP de plantas como de animales muestran patrones similares en cuanto a qué componentes presentados de MPP se comunican. El eje y indica el porcentaje de revisión por pares publicaciones en COMPADRE y COMA
19-Protocolo,121-Traduccion_protocolo_informacion.qmd,3,90,static,images/COMPADRE_MADRE.png,figuras_editor/19-Protocolo/03_COMPADRE_MADRE.png,"FIGURA 3: En los artículos sobre MPP de plantas y animales, la mayoría de las publicaciones no contienen suficiente información para la reproducibilidad. Proporción de artículos en COMPADRE y COMADRE agrupados por su acceso abierto informac"
19-Protocolo,121-Traduccion_protocolo_informacion.qmd,4,353,static,images/Matrices_A_U_F_C.jpg,figuras_editor/19-Protocolo/04_Matrices_A_U_F_C.jpg,FIGURA 4: La descomposición de un MPP en sus submatrices permite aislar tasas vitales que de otro modo estarían enmascaradas. La matriz A representa la MPP. Dado que las transiciones individuales pueden representarse por múltiples tasas dem
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,1,151,render_dual,images/sin_sentido_2_Sp1matA.png,figuras_editor/20-Datos_sin_sentido/01_sin_sentido_2_Sp1matA.png,
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,2,218,static,images/Erycina_crista-galli_Diana_Molina_Ozuma.jpg,figuras_editor/20-Datos_sin_sentido/02_Erycina_crista-galli_Diana_Molina_Ozuma.jpg,*Erycina crista-galli*. Foto: Diana Molina Ozuma
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,3,300,render_dual,images/sin_sentido_6_Sp1matA_NT.png,figuras_editor/20-Datos_sin_sentido/03_sin_sentido_6_Sp1matA_NT.png,
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,4,367,render_dual,images/sin_sentido_8_Sp1matU_NS.png,figuras_editor/20-Datos_sin_sentido/04_sin_sentido_8_Sp1matU_NS.png,
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,5,420,render_dual,images/sin_sentido_9_SerapiaA.png,figuras_editor/20-Datos_sin_sentido/05_sin_sentido_9_SerapiaA.png,
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,6,459,dynamic,chunk 'sin_sentido_10',figuras_editor/20-Datos_sin_sentido/06_sin_sentido_10-1.png,
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,7,528,render_dual,images/sin_sentido_11_Sp1matA_Fert2.png,figuras_editor/20-Datos_sin_sentido/07_sin_sentido_11_Sp1matA_Fert2.png,
20-Datos_sin_sentido,122-Impacto_de_Datos_sin_Sentido.qmd,8,507,dynamic,chunk 'sin_sentido_11',figuras_editor/20-Datos_sin_sentido/08_sin_sentido_11-2.png,
